"","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
"36",22,48000,"RENT",1,"EDUCATION","E",26113.6467391857,18.39,"1",0.63,"N",2
"37",24,64000,"RENT",8,"DEBTCONSOLIDATION","D",14881.8056591762,14.54,"1",0.47,"Y",3
"38",25,75000,"RENT",4,"HOMEIMPROVEMENT","D",30779.7877602557,16.89,"1",0.4,"Y",4
"39",23,71500,"RENT",3,"DEBTCONSOLIDATION","D",19292.0673051908,24.40419273347,"1",0.42,"N",4
"40",26,62050,"RENT",6,"MEDICAL","E",24175.0060498866,17.99,"1",0.41,"N",2
"41",24,12000,"OWN",4,"VENTURE","B",2500,12.69,"1",0.21,"N",3
"42",26,129615.267835114,"MORTGAGE",10,"VENTURE","A",20000,7.88,"0",0.07,"N",4
"43",23,102660.150863655,"OWN",1,"EDUCATION","F",5929.84309175838,19.41,"0",0.08,"Y",2
"44",26,215845.736510432,"OWN",9,"HOMEIMPROVEMENT","B",10000,10.38,"0",0.03,"N",4
"45",26,39595.9362837037,"MORTGAGE",0,"EDUCATION","D",27124.9026140765,15.33,"0",0.08,"N",3
"46",25,142038.013129061,"MORTGAGE",9,"HOMEIMPROVEMENT","E",18000,16.45,"0",0.06,"N",3
"47",26,80690,"RENT",8,"PERSONAL","A",36399.7343337632,7.49,"1",0.37,"N",3
"48",22,66300,"RENT",4,"MEDICAL","B",17862.7134458872,12.69,"1",0.38,"N",3
"49",26,89028,"RENT",0,"DEBTCONSOLIDATION","A",14345.7171761333,6.62,"1",0.34,"N",3
"50",24,78000,"RENT",4,"DEBTCONSOLIDATION","D",18167.5615229538,20.1671102108498,"1",0.38,"Y",4
"51",23,78000,"RENT",7,"DEBTCONSOLIDATION","F",10372.3690659739,18.62,"1",0.38,"Y",3
"52",23,92004,"RENT",6,"PERSONAL","C",19228.1963741409,15.23,"1",0.33,"Y",3
"53",23,97000,"RENT",7,"VENTURE","B",24649.0906259496,10.65,"1",0.31,"N",2
"54",25,120000,"RENT",9,"EDUCATION","A",26409.8416182681,7.9,"0",0.25,"N",4
"55",26,161922.895340507,"RENT",4,"PERSONAL","C",10000,15.96,"0",0.04,"Y",3
"56",26,126202.51042693,"RENT",0,"VENTURE","B",20000,11.48,"0",0.07,"N",3
"57",23,104893.240512006,"OWN",3,"PERSONAL","A",16583.8251502114,19.5277188184166,"0",0.13,"N",4
"58",25,128000,"RENT",9,"PERSONAL","A",23933.4373669049,7.29,"0",0.23,"N",4
"59",24,12000,"OWN",2,"VENTURE","E",1750,20.3526402323094,"0",0.15,"Y",3
"60",21,131000,"RENT",0,"VENTURE","A",20484.5870654525,5.99,"0",0.23,"N",4
"61",22,115347.531578742,"OWN",6,"VENTURE","B",12000,11.58,"0",0.04,"N",2
"62",26,214742.936286864,"MORTGAGE",0,"EDUCATION","B",10000,24.7474624670883,"1",0.04,"N",4
"63",25,44879.8529840703,"MORTGAGE",9,"MEDICAL","D",26189.0768759255,15.7,"1",0.1,"N",2
"64",22,70000,"RENT",6,"EDUCATION","D",12166.7200805261,15.99,"1",0.42,"N",3
"65",22,12000,"MORTGAGE",7,"EDUCATION","D",1500,14.84,"0",0.13,"Y",3
"66",26,177128.521303796,"OWN",10,"HOMEIMPROVEMENT","B",14946.5122737966,10.99,"0",0.11,"N",3
"67",25,183862.107941044,"MORTGAGE",9,"HOMEIMPROVEMENT","D",20000,14.42,"0",0.08,"Y",2
"68",24,228250.087929447,"MORTGAGE",9,"EDUCATION","A",9600,6.99,"0",0.04,"N",2
"69",25,217338.096626102,"RENT",2,"MEDICAL","C",24783.5286165812,13.49,"0",0.1,"N",4
"70",25,12000,"OWN",0,"MEDICAL","C",3000,20.2822272061318,"1",0.25,"N",3
"71",22,56950,"RENT",6,"MEDICAL","A",19700.8458758352,21.7577071022901,"1",0.49,"N",2
"72",21,12000,"OWN",6,"EDUCATION","C",3000,13.61,"1",0.25,"Y",3
"73",23,65000,"RENT",2,"EDUCATION","A",23301.6673592228,7.9,"1",0.43,"N",2
"74",26,85000,"RENT",2,"VENTURE","A",18347.7359260176,7.49,"1",0.33,"N",3
"75",26,12000,"OWN",2,"EDUCATION","A",6100,7.51,"1",0.51,"N",3
"76",22,88000,"RENT",6,"VENTURE","B",20944.6933703057,9.91,"1",0.32,"N",3
"77",21,12000,"OWN",0,"PERSONAL","C",4200,13.48,"1",0.35,"Y",4
"78",22,12000,"OWN",6,"DEBTCONSOLIDATION","A",4750,7.14,"1",0.4,"N",2
"79",24,83004,"RENT",0,"VENTURE","D",11599.8284836101,15.99,"1",0.34,"Y",4
"80",24,143907.375487636,"RENT",2,"EDUCATION","C",18000,12.98,"0",0.07,"Y",3
"81",25,1e+05,"RENT",5,"DEBTCONSOLIDATION","B",23884.4738219789,12.69,"0",0.28,"N",3
"82",26,110000,"RENT",10,"EDUCATION","A",16282.5665734954,8.9,"0",0.25,"N",2
"83",26,12000,"OWN",0,"DEBTCONSOLIDATION","A",2700,15.2996190881979,"1",0.23,"N",4
"84",22,108000,"RENT",6,"EDUCATION","B",18079.477232927,25.3345366051303,"1",0.26,"N",4
"85",23,151950.785179008,"RENT",7,"DEBTCONSOLIDATION","B",18271.3743382902,11.11,"0",0.19,"N",2
"86",24,69000,"RENT",2,"HOMEIMPROVEMENT","A",14121.4200276024,20.9619864832144,"1",0.4,"N",2
"87",21,12000,"MORTGAGE",5,"DEBTCONSOLIDATION","E",3250,15.68,"1",0.27,"Y",3
"88",22,70000,"RENT",4,"EDUCATION","C",25486.3496274566,13.06,"1",0.39,"Y",3
"89",22,40528.8575053415,"OWN",6,"PERSONAL","B",12564.3029519576,21.1878027274959,"0",0.1,"N",2
"90",26,73200,"RENT",5,"VENTURE","D",22668.8486297569,15.62,"1",0.37,"Y",2
"91",24,83000,"RENT",5,"PERSONAL","C",19624.8206429828,13.49,"1",0.33,"Y",2
"92",24,73399,"RENT",0,"VENTURE","D",17270.6353973969,19.3601297245233,"1",0.37,"N",3
"93",23,62500,"RENT",7,"MEDICAL","B",1835.39702775496,11.71,"1",0.42,"N",2
"94",23,120000,"RENT",1,"EDUCATION","B",8403.93786517772,12.69,"0",0.21,"N",3
"95",24,12360,"OWN",2,"MEDICAL","C",1600,13.57,"0",0.13,"N",3
"96",22,60000,"RENT",0,"VENTURE","B",14020.231662678,10.99,"1",0.42,"N",3
"97",25,291609.661296274,"MORTGAGE",3,"MEDICAL","C",20000,14.27,"0",0.09,"Y",4
"98",24,91107.8465822442,"OWN",8,"HOMEIMPROVEMENT","B",20000,8.88,"0",0.09,"N",4
"99",26,145504.876110108,"MORTGAGE",10,"HOMEIMPROVEMENT","B",21600,12.18,"0",0.09,"N",3
"100",25,168632.718474142,"MORTGAGE",6,"DEBTCONSOLIDATION","D",11900,14.42,"1",0.05,"Y",3
"101",26,123785.174171805,"MORTGAGE",0,"MEDICAL","C",7250.77783583596,14.17,"0",0.11,"Y",2
"102",25,103832.43425018,"MORTGAGE",5,"MEDICAL","C",27950.8417042894,13.99,"0",0.15,"N",4
"103",23,83000,"RENT",7,"EDUCATION","B",20334.5762938195,10.99,"1",0.3,"N",3
"104",25,12600,"OWN",3,"PERSONAL","C",1750,13.61,"0",0.14,"N",3
"105",21,42500,"RENT",3,"EDUCATION","C",24612.2362511621,12.73,"1",0.59,"Y",3
"106",24,41000,"RENT",2,"HOMEIMPROVEMENT","D",11163.3496392322,25.3373052069922,"1",0.61,"N",3
"107",25,12816,"OWN",0,"DEBTCONSOLIDATION","C",3000,12.87,"1",0.23,"Y",4
"108",24,12960,"MORTGAGE",1,"HOMEIMPROVEMENT","B",3650,9.91,"1",0.28,"N",3
"109",26,142671.793661665,"MORTGAGE",4,"HOMEIMPROVEMENT","B",20000,11.49,"0",0.09,"N",4
"110",25,126536.055133315,"MORTGAGE",0,"HOMEIMPROVEMENT","E",23371.8378177414,19.91,"0",0.13,"Y",2
"111",26,182558.514119555,"MORTGAGE",6,"EDUCATION","B",20650.5518351001,10.65,"1",0.16,"N",2
"112",24,114820.268614812,"RENT",0,"MEDICAL","B",6000,26.0074494121282,"0",0.03,"N",4
"113",24,12960,"MORTGAGE",0,"DEBTCONSOLIDATION","B",4500,11.83,"1",0.35,"N",4
"114",23,12996,"OWN",0,"DEBTCONSOLIDATION","C",2400,13.49,"1",0.18,"Y",2
"115",22,42000,"RENT",6,"MEDICAL","D",21676.7329295262,14.59,"1",0.6,"Y",2
"116",26,48000,"RENT",2,"EDUCATION","B",9279.7301495974,9.64,"1",0.52,"N",4
"117",25,12996,"OWN",1,"MEDICAL","D",3600,14.59,"1",0.28,"N",3
"118",22,12996,"OWN",1,"EDUCATION","B",4750,18.0883785739934,"1",0.37,"N",3
"119",25,42360,"RENT",1,"EDUCATION","E",19768.3603726484,16.35,"1",0.59,"Y",3
"120",21,49000,"RENT",4,"EDUCATION","B",16156.1915782419,10.99,"1",0.51,"N",2
"121",25,136496.604435674,"MORTGAGE",0,"VENTURE","F",20153.9436822275,18.67,"0",0.11,"N",2
"122",26,157158.325974599,"RENT",1,"EDUCATION","A",3000,9.32,"0",0.01,"N",4
"123",23,211282.40944569,"RENT",8,"DEBTCONSOLIDATION","A",7500,8.63,"0",0.03,"N",2
"124",26,78738.0877556894,"MORTGAGE",2,"VENTURE","B",34832.2754271088,10.08,"0",0.11,"N",2
"125",22,49464,"RENT",5,"PERSONAL","B",20934.8031534497,11.83,"1",0.51,"N",3
"126",23,50000,"RENT",1,"DEBTCONSOLIDATION","A",16203.4851913499,7.9,"1",0.5,"N",3
"127",25,50000,"RENT",4,"HOMEIMPROVEMENT","A",11922.1793445357,5.99,"1",0.5,"N",2
"128",24,44000,"RENT",2,"DEBTCONSOLIDATION","D",15087.4221158346,15.33,"1",0.57,"N",2
"129",23,50000,"RENT",1,"VENTURE","B",32506.7994789121,11.83,"1",0.5,"N",4
"130",22,50004,"RENT",0,"VENTURE","B",18257.6396187942,10.36,"1",0.5,"N",2
"131",22,50004,"RENT",3,"VENTURE","C",15188.6279724902,12.23,"1",0.5,"N",3
"132",22,52000,"RENT",2,"EDUCATION","B",20703.3353564184,11.11,"1",0.48,"N",4
"133",23,13200,"OWN",3,"DEBTCONSOLIDATION","A",4950,7.9,"1",0.38,"N",4
"134",24,184501.568985321,"MORTGAGE",1,"EDUCATION","B",22496.3850178803,11.58,"0",0.11,"N",2
"135",23,191044.789691832,"MORTGAGE",5,"DEBTCONSOLIDATION","A",21000,8.9,"0",0.1,"N",3
"136",25,180900.73259487,"MORTGAGE",2,"EDUCATION","D",8098.08648590564,16.07,"0",0.12,"N",3
"137",26,122031.191080234,"MORTGAGE",10,"EDUCATION","C",20000,14.22,"0",0.09,"Y",2
"138",23,154935.434418134,"MORTGAGE",7,"MEDICAL","C",31592.4506288494,14.79,"0",0.16,"Y",3
"139",26,85726.3775904507,"MORTGAGE",11,"EDUCATION","A",12000,7.88,"0",0.06,"N",2
"140",23,52000,"RENT",1,"PERSONAL","C",11784.7391779544,13.22,"1",0.48,"N",2
"141",26,46000,"RENT",2,"DEBTCONSOLIDATION","D",19605.5294792171,11.86,"1",0.54,"N",4
"142",22,53000,"RENT",5,"EDUCATION","C",19538.683031468,13.43,"1",0.47,"Y",4
"143",26,47000,"RENT",0,"HOMEIMPROVEMENT","D",30943.2220794299,15.28,"1",0.53,"Y",2
"144",23,47000,"RENT",1,"VENTURE","E",25933.9063076447,17.93,"1",0.53,"N",2
"145",23,13200,"MORTGAGE",2,"EDUCATION","B",1400,9.25,"0",0.11,"N",4
"146",21,13200,"OWN",0,"VENTURE","C",4500,12.98,"1",0.34,"N",4
"147",22,132676.001860808,"MORTGAGE",6,"VENTURE","B",16000,10.62,"0",0.08,"N",4
"148",26,109590.002018759,"OWN",10,"PERSONAL","B",22000,11.83,"0",0.1,"N",4
"149",26,48000,"RENT",5,"VENTURE","F",22570.3051614377,18.43,"1",0.52,"N",2
"150",22,54996,"RENT",6,"EDUCATION","B",25246.14608769,23.0485613432848,"1",0.45,"N",4
"151",24,55000,"RENT",4,"HOMEIMPROVEMENT","D",15401.8692300787,18.8403101633615,"1",0.45,"Y",4
"152",23,55000,"RENT",4,"EDUCATION","B",32272.2179117214,11.36,"1",0.45,"N",3
"153",23,55000,"RENT",4,"EDUCATION","D",23478.330159718,15.65,"1",0.45,"Y",3
"154",24,55164,"RENT",8,"PERSONAL","C",25874.2151968242,13.22,"1",0.45,"Y",4
"155",26,56000,"RENT",4,"DEBTCONSOLIDATION","C",24757.1279525928,12.87,"1",0.45,"N",2
"156",24,239248.133820228,"OWN",8,"MEDICAL","C",20000,13.04,"0",0.1,"N",3
"157",23,183381.085640082,"MORTGAGE",5,"EDUCATION","F",22000,17.58,"1",0.12,"Y",3
"158",23,13920,"OWN",2,"PERSONAL","E",7750,17.04,"1",0.56,"N",4
"159",24,60000,"RENT",0,"PERSONAL","B",20267.9224483923,10.99,"1",0.42,"N",3
"160",24,60000,"RENT",2,"PERSONAL","B",17811.7352278759,11.11,"1",0.42,"N",3
"161",26,54000,"RENT",7,"DEBTCONSOLIDATION","D",31166.05746652,14.83,"1",0.46,"Y",2
"162",23,14000,"OWN",2,"DEBTCONSOLIDATION","D",4000,21.7513240997106,"1",0.29,"N",3
"163",24,163368.515146201,"RENT",8,"MEDICAL","B",12000,12.69,"0",0.06,"N",2
"164",24,135788.702811339,"MORTGAGE",8,"HOMEIMPROVEMENT","C",12000,13.49,"0",0.06,"N",2
"165",21,176501.088457422,"MORTGAGE",5,"EDUCATION","C",16000,14.65,"0",0.08,"N",4
"166",25,54000,"RENT",3,"HOMEIMPROVEMENT","E",16030.1629024207,16.82,"1",0.46,"N",4
"167",23,60000,"RENT",3,"PERSONAL","C",13519.2242326956,12.73,"1",0.42,"N",3
"168",23,60000,"RENT",7,"PERSONAL","B",17397.068239384,10.25,"1",0.42,"N",4
"169",21,60000,"RENT",6,"EDUCATION","B",22683.064895319,10.99,"1",0.42,"N",4
"170",25,61959,"RENT",9,"MEDICAL","C",24276.8162331681,12.73,"1",0.4,"N",2
"171",22,56400,"RENT",2,"HOMEIMPROVEMENT","D",15713.3029212831,14.96,"1",0.44,"Y",3
"172",23,130793.243928609,"MORTGAGE",7,"EDUCATION","A",16632.2904305181,20.469814719295,"0",0.14,"N",2
"173",21,195784.423206802,"MORTGAGE",2,"DEBTCONSOLIDATION","C",20711.8945471075,13.99,"0",0.13,"N",2
"174",24,127429.882467923,"MORTGAGE",3,"VENTURE","A",15355.6852396288,7.49,"0",0.12,"N",4
"175",26,107007.66061178,"MORTGAGE",4,"EDUCATION","C",15000,14.79,"0",0.07,"N",3
"176",25,207146.930508334,"MORTGAGE",2,"DEBTCONSOLIDATION","B",15500,11.99,"0",0.08,"N",2
"177",24,63320.8409174722,"RENT",8,"EDUCATION","A",10000,8.49,"0",0.05,"N",4
"178",24,66000,"RENT",3,"EDUCATION","B",36401.1848720271,9.91,"1",0.38,"N",2
"179",22,66000,"RENT",6,"EDUCATION","C",23792.8848835244,13.06,"1",0.38,"Y",3
"180",22,83925.2190170386,"MORTGAGE",6,"DEBTCONSOLIDATION","A",9000,6.17,"0",0.04,"N",4
"181",25,219864.158841725,"RENT",5,"EDUCATION","D",18000,16.32,"0",0.09,"N",3
"182",25,86070.9182938563,"MORTGAGE",2,"VENTURE","B",12000,10.38,"0",0.06,"N",2
"183",25,161008.982937839,"MORTGAGE",9,"PERSONAL","C",23050,14.35,"0",0.12,"N",3
"184",24,138381.899840776,"MORTGAGE",8,"DEBTCONSOLIDATION","B",20000,24.8382788126081,"0",0.1,"N",3
"185",24,60000,"RENT",2,"DEBTCONSOLIDATION","E",13245.7575262221,21.1728140376068,"1",0.42,"Y",2
"186",21,14400,"OWN",0,"HOMEIMPROVEMENT","B",3000,17.9953274927886,"1",0.21,"N",4
"187",26,66996,"RENT",10,"PERSONAL","D",17188.0118190106,15.21,"1",0.37,"Y",2
"188",23,67000,"RENT",3,"EDUCATION","A",6644.7197591325,7.9,"1",0.37,"N",4
"189",24,67000,"RENT",2,"VENTURE","B",12016.0583369784,10.99,"1",0.37,"N",3
"190",24,68000,"RENT",5,"PERSONAL","D",14902.3388504352,14.09,"1",0.37,"Y",3
"191",25,69000,"RENT",9,"PERSONAL","D",23993.7424907248,17.49,"1",0.36,"N",2
"192",25,127800.438133664,"MORTGAGE",0,"EDUCATION","B",12000,11.48,"0",0.06,"N",3
"193",26,6691.6802209234,"MORTGAGE",10,"VENTURE","E",20000,17.74,"1",0.11,"N",2
"194",26,114816.784753613,"MORTGAGE",4,"PERSONAL","C",3000,13.92,"0",0.01,"N",3
"195",25,69996,"RENT",9,"EDUCATION","D",18172.6859888123,15.21,"1",0.36,"N",3
"196",22,14400,"OWN",2,"MEDICAL","B",4000,10.99,"1",0.28,"N",3
"197",24,70000,"RENT",3,"EDUCATION","B",17207.1783228235,11.86,"1",0.36,"N",4
"198",24,14400,"OWN",5,"PERSONAL","A",6000,7.49,"1",0.42,"N",3
"199",24,56100,"RENT",7,"MEDICAL","D",22907.609813792,16.49,"1",0.38,"N",4
"200",25,66000,"RENT",9,"VENTURE","D",16471.7896344214,15.33,"1",0.38,"Y",2
"201",26,66000,"RENT",3,"HOMEIMPROVEMENT","B",19606.6617604767,11.58,"1",0.38,"N",4
"202",25,14400,"OWN",7,"EDUCATION","A",5375,5.79,"1",0.37,"N",2
"203",25,72612,"RENT",9,"MEDICAL","C",24719.3018377198,13.11,"1",0.34,"N",2
"204",23,74000,"RENT",3,"MEDICAL","B",14440.2125836571,10.36,"1",0.34,"N",3
"205",25,75000,"RENT",9,"DEBTCONSOLIDATION","B",21483.9661885884,10.36,"1",0.33,"N",2
"206",24,158998.126076441,"RENT",0,"MEDICAL","C",22000,18.2441256661137,"0",0.11,"Y",2
"207",25,112950.535895685,"MORTGAGE",1,"MEDICAL","B",10000,12.53,"0",0.05,"N",4
"208",26,159783.382052474,"MORTGAGE",5,"PERSONAL","A",15000,21.3286847824631,"0",0.08,"N",3
"209",22,138894.652658347,"MORTGAGE",3,"VENTURE","C",10000,23.9680589366857,"0",0.05,"N",3
"210",24,75000,"RENT",4,"EDUCATION","B",3407.43123332033,10.25,"1",0.33,"N",4
"211",22,71000,"RENT",1,"EDUCATION","D",27324.1314153577,15.95,"1",0.35,"Y",4
"212",26,176053.310903713,"MORTGAGE",3,"VENTURE","B",20000,12.18,"0",0.11,"N",4
"213",23,162267.677174375,"OWN",0,"PERSONAL","B",6834.06841486825,11.83,"0",0.13,"N",3
"214",23,78000,"RENT",7,"DEBTCONSOLIDATION","C",16917.424434403,23.6040900643299,"1",0.32,"Y",2
"215",23,78000,"RENT",1,"VENTURE","B",33418.9374985234,10.62,"1",0.32,"N",3
"216",23,78504,"RENT",7,"VENTURE","B",15404.7393223458,10.74,"1",0.32,"N",3
"217",25,144282.458975038,"OWN",9,"VENTURE","B",10000,10.25,"0",0.05,"N",4
"218",25,170636.234354307,"RENT",6,"VENTURE","C",15000,15.27,"0",0.08,"N",2
"219",24,62050,"RENT",8,"MEDICAL","D",22631.3298170004,15.33,"1",0.34,"Y",2
"220",23,79416,"RENT",7,"VENTURE","D",20259.9938809216,15.21,"1",0.31,"Y",2
"221",21,14400,"OWN",4,"VENTURE","C",6250,14.72,"1",0.43,"N",2
"222",24,79631,"RENT",8,"PERSONAL","D",25088.6029139477,15.7,"1",0.31,"Y",2
"223",24,79632,"RENT",0,"EDUCATION","C",14028.5639065722,13.35,"1",0.31,"N",4
"224",21,14400,"MORTGAGE",0,"MEDICAL","C",1500,20.7160933771365,"0",0.1,"N",4
"225",24,80000,"RENT",6,"EDUCATION","A",18536.2599021038,6.62,"1",0.31,"N",2
"226",26,80000,"RENT",5,"DEBTCONSOLIDATION","C",27628.0599656592,13.61,"1",0.31,"N",4
"227",22,200191.674586148,"RENT",4,"MEDICAL","B",15664.3091908397,11.36,"0",0.14,"N",2
"228",26,125128.819042433,"OWN",10,"PERSONAL","A",5000,7.68,"0",0.03,"N",2
"229",24,127277.893683591,"RENT",7,"HOMEIMPROVEMENT","D",22000,14.46,"0",0.12,"Y",4
"230",23,103443.453557008,"OWN",5,"EDUCATION","B",2500,11.83,"0",0.01,"N",2
"231",24,146243.972537568,"MORTGAGE",6,"DEBTCONSOLIDATION","C",20000,13.47,"1",0.12,"Y",4
"232",24,144493.723401365,"MORTGAGE",2,"MEDICAL","B",20000,11.49,"0",0.11,"N",3
"233",22,109058.39205348,"MORTGAGE",3,"EDUCATION","A",1000,23.4835824258014,"0",0.01,"N",2
"234",25,84257.180812853,"MORTGAGE",9,"PERSONAL","A",15000,6.03,"0",0.08,"N",3
"235",23,74004,"RENT",7,"DEBTCONSOLIDATION","E",10202.7697927868,16.35,"1",0.34,"N",4
"236",26,74004,"RENT",10,"DEBTCONSOLIDATION","D",28953.4458143112,20.209280969286,"1",0.34,"Y",4
"237",25,81000,"RENT",5,"DEBTCONSOLIDATION","A",19840.352992893,7.29,"1",0.31,"N",3
"238",23,81600,"RENT",1,"MEDICAL","B",15112.7301553826,11.36,"1",0.31,"N",3
"239",24,82000,"RENT",8,"VENTURE","B",25269.3745207839,10.25,"0",0.3,"N",2
"240",24,83000,"RENT",5,"EDUCATION","B",12251.3533627233,11.12,"0",0.3,"N",3
"241",24,83000,"RENT",5,"PERSONAL","D",13644.4306792382,12.92,"0",0.3,"Y",3
"242",24,206552.542849511,"RENT",8,"EDUCATION","E",18000,18.64,"0",0.1,"Y",4
"243",23,245106.069184544,"MORTGAGE",8,"PERSONAL","A",13101.222674063,7.51,"0",0.16,"N",3
"244",23,14400,"OWN",2,"HOMEIMPROVEMENT","E",4000,16.7,"1",0.28,"N",2
"245",22,14400,"OWN",0,"PERSONAL","B",2100,11.14,"0",0.15,"N",4
"246",22,84500,"RENT",6,"PERSONAL","F",17805.8448781362,18.3,"0",0.3,"N",4
"247",24,85000,"RENT",5,"MEDICAL","B",24234.9072466982,10.62,"0",0.29,"N",4
"248",24,48897.7593164734,"MORTGAGE",7,"VENTURE","B",14000,11.99,"0",0.08,"N",2
"249",26,172014.191041237,"MORTGAGE",2,"VENTURE","B",12000,9.63,"0",0.07,"N",4
"250",25,164388.467119985,"MORTGAGE",9,"MEDICAL","F",10000,18.25,"1",0.06,"N",4
"251",23,14664,"MORTGAGE",0,"DEBTCONSOLIDATION","C",6000,17.4276329838627,"1",0.41,"N",4
"252",24,87000,"RENT",8,"HOMEIMPROVEMENT","D",21444.4084693128,14.84,"0",0.29,"N",3
"253",24,75000,"RENT",0,"VENTURE","E",19518.9523365427,14.7,"1",0.33,"Y",3
"254",23,76000,"RENT",7,"DEBTCONSOLIDATION","D",15736.8073977514,16.02,"1",0.33,"N",4
"255",23,66215,"RENT",1,"MEDICAL","D",22368.4030351725,15.37,"1",0.32,"Y",2
"256",25,90000,"RENT",9,"MEDICAL","B",14277.8905369,10.99,"0",0.28,"N",4
"257",21,15000,"OWN",0,"HOMEIMPROVEMENT","A",6200,7.9,"1",0.41,"N",2
"258",26,109692.688144045,"OWN",2,"PERSONAL","B",22410.850833852,10.99,"0",0.14,"N",4
"259",24,130816.941993109,"OWN",8,"EDUCATION","B",21000,11.48,"0",0.12,"N",3
"260",25,119264.434153994,"OWN",9,"MEDICAL","C",20000,14.26,"0",0.11,"Y",4
"261",26,77757.0379095741,"OWN",0,"HOMEIMPROVEMENT","A",10000,8,"0",0.06,"N",4
"262",25,71904.4667096164,"MORTGAGE",3,"VENTURE","B",9950,11.26,"0",0.06,"N",2
"263",23,15000,"OWN",7,"MEDICAL","B",4475,24.7961531695478,"1",0.3,"N",4
"264",23,78000,"RENT",2,"VENTURE","D",11132.7875803489,16.32,"1",0.32,"Y",3
"265",25,66300,"RENT",3,"MEDICAL","E",15024.555686917,17.93,"1",0.32,"Y",4
"266",23,90000,"RENT",0,"DEBTCONSOLIDATION","B",22247.5692372794,11.36,"0",0.28,"N",3
"267",24,79000,"RENT",9,"DEBTCONSOLIDATION","D",9189.94419159219,14.96,"1",0.32,"Y",4
